annee,intervalle_population,total_delits,nombre_communes
16,0-1k,1559,148
16,1k-2k,9828,378
16,2k-5k,115853,1268
16,5k-10k,206310,852
16,10k-20k,264015,446
16,20k-30k,199003,164
16,30k-40k,130924,75
16,40k-50k,146736,54
16,50k-70k,162807,48
16,70k-100k,123844,25
16,100k-200k,270555,31
16,200k-500k,182057,7
16,500k-1M,124404,2
17,0-1k,1667,150
17,1k-2k,9839,371
17,2k-5k,116714,1275
17,5k-10k,202795,843
17,10k-20k,264109,450
17,20k-30k,201290,168
17,30k-40k,130420,74
17,40k-50k,139369,51
17,50k-70k,169182,51
17,70k-100k,119931,25
17,100k-200k,271551,31
17,200k-500k,183119,7
17,500k-1M,127027,2
18,0-1k,1686,148
18,1k-2k,9343,369
18,2k-5k,112115,1274
18,5k-10k,200132,850
18,10k-20k,255020,446
18,20k-30k,194256,167
18,30k-40k,130207,77
18,40k-50k,133608,52
18,50k-70k,157276,49
18,70k-100k,119423,26
18,100k-200k,271831,31
18,200k-500k,187124,7
18,500k-1M,127817,2
