Dep,Nom Ville,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Numero Departement,Numero Departement x Nom Ville,CODGEO
Ain (01),AMBERIEU EN BUGEY,7,1,0,0,0,01,01AMBERIEU EN BUGEY,1004
Bourg en Bresse,AMBERIEUX EN DOMBES,0,0,1,0,0,01,01AMBERIEUX EN DOMBES,1005
nan,AMBRONAY,0,1,0,0,0,01,01AMBRONAY,1007
nan,ANGLEFORT,0,1,0,0,0,01,01ANGLEFORT,1010
nan,ARBENT,3,0,0,0,0,01,01ARBENT,1014
nan,ASNIERES SUR SAONE,0,0,0,0,0,01,01ASNIERES SUR SAONE,1023
nan,ATTIGNAT,1,0,0,0,0,01,01ATTIGNAT,1024
nan,BAGE LA VILLE,1,0,0,0,0,01,01BAGE LA VILLE,1025
nan,BAGE LE CHATEL,3,0,1,0,0,01,01BAGE LE CHATEL,1026
nan,BALAN,1,0,0,0,0,01,01BALAN,1027
nan,BELLEGARDE SUR VALSERINE,5,2,0,0,0,01,01BELLEGARDE SUR VALSERINE,1033
nan,BELLEY,5,4,0,0,0,01,01BELLEY,1034
nan,BELLIGNAT,2,0,0,0,0,01,01BELLIGNAT,1031
nan,BEYNOST,3,0,0,0,0,01,01BEYNOST,1043
nan,BIZIAT,0,0,1,0,0,01,01BIZIAT,1046
nan,BOURG EN BRESSE,24,8,0,0,0,01,01BOURG EN BRESSE,1053
nan,BOURG SAINT CHRISTOPHE,0,0,0,0,0,01,01BOURG SAINT CHRISTOPHE,1054
nan,BRESSOLLES,0,0,0,0,0,01,01BRESSOLLES,1062
nan,BREGNIER CORDON,0,0,1,0,0,01,01BREGNIER CORDON,1058
nan,CESSY,2,0,0,0,0,01,01CESSY,1071
nan,CEYZERIAT,1,0,0,0,0,01,01CEYZERIAT,1072
nan,CHALAMONT,0,1,0,0,0,01,01CHALAMONT,1074
nan,CHANAY,0,1,0,0,0,01,01CHANAY,1082
nan,CHATEAU GAILLARD,0,0,0,0,0,01,01CHATEAU GAILLARD,1089
nan,CHATILLON SUR CHALARONNE,3,0,0,0,0,01,01CHATILLON SUR CHALARONNE,1093
nan,CIVRIEUX,0,0,1,0,0,01,01CIVRIEUX,1105
nan,COLIGNY,1,0,0,0,0,01,01COLIGNY,1108
nan,COLLONGES,2,0,0,0,0,01,01COLLONGES,1109
nan,CULOZ,2,0,0,0,0,01,01CULOZ,1138
nan,DAGNEUX,1,0,0,0,0,01,01DAGNEUX,1142
nan,DIVONNE LES BAINS,9,0,0,0,0,01,01DIVONNE LES BAINS,1143
nan,DOMPIERRE SUR VEYLE,0,0,1,0,0,01,01DOMPIERRE SUR VEYLE,1145
nan,DORTAN,1,0,0,0,0,01,01DORTAN,1148
nan,DOUVRES,0,0,0,0,0,01,01DOUVRES,1149
nan,DRUILLAT,0,0,1,0,0,01,01DRUILLAT,1151
nan,FARGES,0,0,0,0,0,01,01FARGES,1158
nan,FEILLENS,0,0,0,0,0,01,01FEILLENS,1159
