Dep,Nom Département,Inconnu,Nom des communes ou EPCI ayant un service de police municipale,Nombre d habitants de la commune,Nombre d agents de police municipale,Nombre d ASVP,Nombre de gardes-champêtres,Nombre de maîtres chiens de police municipale,Nombre de chiens de patrouille de police municipale,Numero Departement,Numero Departement x Nom Ville,CODGEO
nan,,1.0,BALAN,2856,1,0,0,,,01,01BALAN,1027
nan,,1.0,BELIGNEUX,3314,1,0,0,,,01,01BELIGNEUX,1032
nan,,1.0,BELLEGARDE SUR VALSERINE,11666,7,2,0,,,01,01BELLEGARDE SUR VALSERINE,1033
nan,,1.0,BELLEY,9133,4,2,0,,,01,01BELLEY,1034
nan,,1.0,BELLEYDOUX,317,0,0,1,,,01,01BELLEYDOUX,1035
nan,,1.0,BELLIGNAT,3618,2,0,0,,,01,01BELLIGNAT,1031
nan,,1.0,BEYNOST,4557,4,0,0,,,01,01BEYNOST,1043
nan,,1.0,BIZIAT,857,0,0,1,,,01,01BIZIAT,1046
nan,,1.0,BOURG EN BRESSE,41365,23,8,0,,,01,01BOURG EN BRESSE,1053
nan,,1.0,CERDON,785,0,0,1,,,01,01CERDON,1068
nan,,1.0,CEYZERIAT,3138,1,0,0,,,01,01CEYZERIAT,1072
nan,,1.0,CHALAMONT,2406,0,2,0,,,01,01CHALAMONT,1074
nan,,1.0,CHANAY,633,0,1,0,,,01,01CHANAY,1082
nan,,1.0,CHATILLON EN MICHAILLE,3586,1,0,0,,,01,01CHATILLON EN MICHAILLE,1091
nan,,1.0,CHATILLON SUR CHALARONNE,4886,3,0,0,,,01,01CHATILLON SUR CHALARONNE,1093
nan,,1.0,CIVRIEUX,1606,0,1,0,,,01,01CIVRIEUX,1105
nan,,1.0,COLIGNY,1187,1,0,0,,,01,01COLIGNY,1108
nan,,1.0,COLLONGES,2223,2,0,0,,,01,01COLLONGES,1109
nan,,1.0,CULOZ,3053,2,0,0,,,01,01CULOZ,1138
nan,,1.0,DAGNEUX,4706,1,0,0,,,01,01DAGNEUX,1142
nan,,1.0,DIVONNE LES BAINS,9465,9,0,0,,,01,01DIVONNE LES BAINS,1143
nan,,1.0,DOMPIERRE SUR VEYLE,1164,0,0,1,,,01,01DOMPIERRE SUR VEYLE,1145
nan,,1.0,DORTAN,1846,1,0,0,,,01,01DORTAN,1148
nan,,1.0,FERNEY VOLTAIRE,9637,4,2,0,,,01,01FERNEY VOLTAIRE,1160
nan,,1.0,GEX,12652,6,1,0,,,01,01GEX,1173
nan,,1.0,GORREVOD,861,0,0,1,,,01,01GORREVOD,1175
nan,,1.0,GROISSIAT,1223,0,1,1,,,01,01GROISSIAT,1181
nan,,1.0,HAUTEVILLE LOMPNES,3650,1,0,0,,,01,01HAUTEVILLE LOMPNES,1185
nan,,1.0,JASSANS RIOTTIER,6391,4,1,0,,,01,01JASSANS RIOTTIER,1194
nan,,1.0,BOISSE,3021,0,0,1,,,01,01BOISSE,1049
nan,,1.0,LAGNIEU,7090,1,2,0,,,01,01LAGNIEU,1202
nan,,1.0,MANZIAT,1977,1,0,0,,,01,01MANZIAT,1231
nan,,1.0,MARBOZ,2226,0,0,1,,,01,01MARBOZ,1232
nan,,1.0,MASSIEUX,2516,1,0,0,,,01,01MASSIEUX,1238
nan,,1.0,MEXIMIEUX,7669,3,0,0,,,01,01MEXIMIEUX,1244
nan,,1.0,MIONNAY,2132,1,0,0,,,01,01MIONNAY,1248
nan,,1.0,MIRIBEL,9742,4,0,0,,,01,01MIRIBEL,1249
nan,,1.0,MONTLUEL,7005,3,0,0,,,01,01MONTLUEL,1262
nan,,1.0,MONTMERLE SUR SAONE,3811,1,1,0,,,01,01MONTMERLE SUR SAONE,1263
nan,,1.0,MONTREAL LA CLUSE,3409,2,0,0,,,01,01MONTREAL LA CLUSE,1265
nan,,1.0,NANTUA,3482,1,0,0,,,01,01NANTUA,1269
nan,,1.0,NEYROLLES,636,0,1,0,,,01,01NEYROLLES,1274
nan,,1.0,NEYRON,2507,1,0,0,,,01,01NEYRON,1275
nan,,1.0,NIEVROZ,1577,1,0,0,,,01,01NIEVROZ,1276
nan,,1.0,ORNEX,4400,1,1,0,,,01,01ORNEX,1281
nan,,1.0,OYONNAX,22559,14,3,0,1,1,01,01OYONNAX,1283
nan,,1.0,PERONNAS,6287,2,0,0,,,01,01PERONNAS,1289
nan,,1.0,PONCIN,1696,0,1,1,,,01,01PONCIN,1303
nan,,1.0,PONT D AIN,2914,0,1,0,,,01,01PONT D AIN,1304
nan,,1.0,PONT DE VAUX,2290,1,0,0,,,01,01PONT DE VAUX,1305
nan,,1.0,PONT DE VEYLE,1618,0,1,0,,,01,01PONT DE VEYLE,1306
nan,,1.0,PREVESSIN MOENS,7991,3,0,0,,,01,01PREVESSIN MOENS,1313
nan,,1.0,REYRIEUX,4670,2,0,0,,,01,01REYRIEUX,1322
nan,,1.0,SAINT ANDRE DE CORCY,3241,1,0,0,,,01,01SAINT ANDRE DE CORCY,1333
nan,,1.0,SAINT BERNARD,1434,0,0,1,,,01,01SAINT BERNARD,1339
nan,,1.0,SAINT DENIS EN BUGEY,2293,1,0,0,,,01,01SAINT DENIS EN BUGEY,1345
nan,,1.0,SAINT DENIS LES BOURG,5667,1,0,0,,,01,01SAINT DENIS LES BOURG,1344
nan,,1.0,SAINT DIDIER SUR CHALARONNE,2832,1,0,0,,,01,01SAINT DIDIER SUR CHALARONNE,1348
nan,,1.0,SAINT ETIENNE DU BOIS,2490,0,0,1,,,01,01SAINT ETIENNE DU BOIS,1350
nan,,1.0,SAINT GENIS POUILLY,11892,3,1,0,,,01,01SAINT GENIS POUILLY,1354
nan,,1.0,SAINT JEAN LE VIEUX,1699,1,0,0,,,01,01SAINT JEAN LE VIEUX,1363
nan,,1.0,SAINT JUST,917,0,0,1,,,01,01SAINT JUST,1369
nan,,1.0,SAINT LAURENT SUR SAONE,1754,2,0,0,,,01,01SAINT LAURENT SUR SAONE,1370
nan,,1.0,SAINT MARCEL,1303,0,0,1,,,01,01SAINT MARCEL,1371
