Numero Departement,Année,Nombre de policiers municipaux,Nombre d ASVP,Nombre de gardes-champêtres,Nombre d agents cynophiles,Nombre de chiens de patrouille de police municipale,Nombre de maîtres chiens de police municipale,somme_ligne
01,2016,132,40.0,10,2.0,2,0.0,186.0
01,2017,135,43.0,9,0.0,1,1.0,189.0
01,2018,138,40.0,9,0.0,1,1.0,189.0
02,2016,48,23.0,7,0.0,0,0.0,78.0
02,2017,53,24.0,8,0.0,0,0.0,85.0
02,2018,58,21.0,5,0.0,0,0.0,84.0
03,2016,30,12.0,5,0.0,0,0.0,47.0
03,2017,31,11.0,5,0.0,0,0.0,47.0
03,2018,32,11.0,5,0.0,0,0.0,48.0
04,2016,55,24.0,2,0.0,0,0.0,81.0
04,2017,52,29.0,2,0.0,2,2.0,87.0
04,2018,58,31.0,2,0.0,2,2.0,95.0
05,2016,36,43.0,3,0.0,0,0.0,82.0
05,2017,34,52.0,3,0.0,0,0.0,89.0
05,2018,34,48.0,2,0.0,0,0.0,84.0
06,2016,657,195.0,0,9.0,7,0.0,868.0
06,2017,679,197.0,1,0.0,5,7.0,889.0
06,2018,670,191.0,2,0.0,14,14.0,891.0
07,2016,40,18.0,1,0.0,0,0.0,59.0
07,2017,44,12.0,1,0.0,0,0.0,57.0
07,2018,47,13.0,1,0.0,0,0.0,61.0
08,2016,57,12.0,0,0.0,0,0.0,69.0
08,2017,58,10.0,0,0.0,0,0.0,68.0
08,2018,69,10.0,0,0.0,0,0.0,79.0
09,2016,21,14.0,6,0.0,0,0.0,41.0
09,2017,21,14.0,6,0.0,0,0.0,41.0
09,2018,23,12.0,4,0.0,0,0.0,39.0
10,2016,68,14.0,0,0.0,0,0.0,82.0
10,2017,69,12.0,1,0.0,0,0.0,82.0
10,2018,78,12.0,1,0.0,1,2.0,94.0
11,2016,133,24.0,0,0.0,1,0.0,158.0
11,2017,139,26.0,0,0.0,1,1.0,167.0
11,2018,138,28.0,0,0.0,1,1.0,168.0
12,2016,29,16.0,5,0.0,0,0.0,50.0
12,2017,33,17.0,5,0.0,0,0.0,55.0
12,2018,31,18.0,4,0.0,0,0.0,53.0
13,2016,1313,350.0,13,6.0,6,0.0,1688.0
13,2017,1340,328.0,13,0.0,9,12.0,1702.0
13,2018,1363,306.0,16,0.0,12,17.0,1714.0
14,2016,147,81.0,7,0.0,0,0.0,235.0
14,2017,152,79.0,4,0.0,0,0.0,235.0
14,2018,151,81.0,4,0.0,0,0.0,236.0
15,2016,5,3.0,0,0.0,0,0.0,8.0
15,2017,6,0.0,0,0.0,0,0.0,6.0
15,2018,6,4.0,0,0.0,0,0.0,10.0
16,2016,55,11.0,0,0.0,0,0.0,66.0
16,2017,50,15.0,0,0.0,0,0.0,65.0
16,2018,53,15.0,0,0.0,0,0.0,68.0
17,2016,113,0.0,11,0.0,0,0.0,124.0
17,2017,112,10.0,11,0.0,0,0.0,133.0
17,2018,103,37.0,11,0.0,0,0.0,151.0
18,2016,41,37.0,1,1.0,1,0.0,81.0
18,2017,41,27.0,1,0.0,1,2.0,72.0
18,2018,48,30.0,1,0.0,1,1.0,81.0
21,2016,51,6.0,1,0.0,0,0.0,58.0
21,2017,54,3.0,1,0.0,0,0.0,58.0
21,2018,52,2.0,1,0.0,0,0.0,55.0
22,2016,64,24.0,0,0.0,0,0.0,88.0
22,2017,64,24.0,1,0.0,0,0.0,89.0
22,2018,62,10.0,1,0.0,0,0.0,73.0
24,2016,52,24.0,4,0.0,0,0.0,80.0
24,2017,54,26.0,2,0.0,0,0.0,82.0
24,2018,53,26.0,2,0.0,0,0.0,81.0
25,2016,41,12.0,2,0.0,0,0.0,55.0
25,2017,42,12.0,3,0.0,0,0.0,57.0
25,2018,42,14.0,2,0.0,0,0.0,58.0
26,2016,183,38.0,6,6.0,3,0.0,236.0
26,2017,187,37.0,6,0.0,4,6.0,240.0
26,2018,183,37.0,6,0.0,5,7.0,238.0
27,2016,96,25.0,0,6.0,6,0.0,133.0
27,2017,98,26.0,0,0.0,4,5.0,133.0
27,2018,97,26.0,0,0.0,5,6.0,134.0
28,2016,101,17.0,0,2.0,2,0.0,122.0
28,2017,95,19.0,0,0.0,1,1.0,116.0
28,2018,91,0.0,0,0.0,0,0.0,91.0
29,2016,66,30.0,4,0.0,0,0.0,100.0
29,2017,62,33.0,3,0.0,0,0.0,98.0
29,2018,62,36.0,5,0.0,0,0.0,103.0
30,2016,439,74.0,11,9.0,7,0.0,540.0
30,2017,462,68.0,20,0.0,5,8.0,563.0
30,2018,444,75.0,11,0.0,6,8.0,544.0
31,2016,505,90.0,10,9.0,9,0.0,623.0
31,2017,541,85.0,11,0.0,10,10.0,657.0
31,2018,571,94.0,11,0.0,7,7.0,690.0
32,2016,24,12.0,0,0.0,0,0.0,36.0
32,2017,22,13.0,0,0.0,0,0.0,35.0
32,2018,24,10.0,0,0.0,0,0.0,34.0
33,2016,368,174.0,9,4.0,4,0.0,559.0
33,2017,378,121.0,3,0.0,3,4.0,509.0
33,2018,418,94.0,5,0.0,3,3.0,523.0
34,2016,702,188.0,17,9.0,10,0.0,926.0
34,2017,702,168.0,14,0.0,7,9.0,900.0
34,2018,722,141.0,13,0.0,5,8.0,889.0
35,2016,190,37.0,2,7.0,5,0.0,241.0
35,2017,195,33.0,2,0.0,8,11.0,249.0
35,2018,194,43.0,2,0.0,8,10.0,257.0
36,2016,37,10.0,1,0.0,0,0.0,48.0
36,2017,35,10.0,1,0.0,0,0.0,46.0
36,2018,33,5.0,1,0.0,0,0.0,39.0
37,2016,189,47.0,1,5.0,5,0.0,247.0
37,2017,186,40.0,1,0.0,5,7.0,239.0
37,2018,193,34.0,1,0.0,3,3.0,234.0
38,2016,186,43.0,11,0.0,0,0.0,240.0
38,2017,190,42.0,12,0.0,0,0.0,244.0
38,2018,189,43.0,16,0.0,0,0.0,248.0
39,2016,41,6.0,1,0.0,0,0.0,48.0
39,2017,40,9.0,1,0.0,0,0.0,50.0
39,2018,38,9.0,1,0.0,0,0.0,48.0
40,2016,69,9.0,1,0.0,0,0.0,79.0
40,2017,71,38.0,1,0.0,1,1.0,112.0
40,2018,75,38.0,1,0.0,1,1.0,116.0
